Area,Date,date,Claims
Berrien County,05/16/2020,May 16,230
Berrien County,05/23/2020,May 23,219
Berrien County,05/30/2020,May 30,203
Berrien County,06/06/2020,Jun 06,154
Berrien County,06/13/2020,Jun 13,173
Berrien County,06/20/2020,Jun 20,148
Berrien County,06/27/2020,Jun 27,140
Berrien County,07/04/2020,Jul 04,128
Berrien County,07/11/2020,Jul 11,174
Berrien County,07/18/2020,Jul 18,144
Berrien County,07/25/2020,Jul 25,119
Berrien County,08/01/2020,Aug 01,93
Berrien County,08/08/2020,Aug 08,92
Berrien County,08/15/2020,Aug 15,62
Berrien County,08/22/2020,Aug 22,77
Berrien County,08/29/2020,Aug 29,68
Berrien County,09/05/2020,Sep 05,80
Berrien County,09/12/2020,Sep 12,54
Berrien County,09/19/2020,Sep 19,83
Berrien County,09/26/2020,Sep 26,69
Berrien County,10/03/2020,Oct 03,62
Berrien County,10/10/2020,Oct 10,65
Berrien County,10/17/2020,Oct 17,57
Berrien County,10/24/2020,Oct 24,53
Berrien County,10/31/2020,Oct 31,71
Berrien County,11/07/2020,Nov 07,32
Berrien County,11/14/2020,Nov 14,25
Berrien County,11/21/2020,Nov 21,61
Berrien County,11/28/2020,Nov 28,47
Berrien County,12/05/2020,Dec 05,50
Berrien County,12/12/2020,Dec 12,49
Bibb County,03/07/2020,Mar 07,62
Bibb County,03/14/2020,Mar 14,77
Bibb County,03/21/2020,Mar 21,134
Bibb County,03/28/2020,Mar 28,1797
Bibb County,04/04/2020,Apr 04,4711
Bibb County,04/11/2020,Apr 11,3910
Bibb County,04/18/2020,Apr 18,2859
Bibb County,04/25/2020,Apr 25,3487
Bibb County,05/02/2020,May 02,2730
Bibb County,05/09/2020,May 09,3166
Bibb County,05/16/2020,May 16,2371
Bibb County,05/23/2020,May 23,2439
Bibb County,05/30/2020,May 30,1830
Bibb County,06/06/2020,Jun 06,1811
Bibb County,06/13/2020,Jun 13,1998
Bibb County,06/20/2020,Jun 20,1867
